event_number,number_hits,hit_1_chamber,hit_1_layer,hit_1_xright,hit_1_xleft,hit_2_chamber,hit_2_layer,hit_2_xright,hit_2_xleft,hit_3_chamber,hit_3_layer,hit_3_xright,hit_3_xleft,hit_4_chamber,hit_4_layer,hit_4_xright,hit_4_xleft,hit_5_chamber,hit_5_layer,hit_5_xright,hit_5_xleft,hit_6_chamber,hit_6_layer,hit_6_xright,hit_6_xleft,hit_7_chamber,hit_7_layer,hit_7_xright,hit_7_xleft,hit_8_chamber,hit_8_layer,hit_8_xright,hit_8_xleft,hit_9_chamber,hit_9_layer,hit_9_xright,hit_9_xleft,hit_10_chamber,hit_10_layer,hit_10_xright,hit_10_xleft,hit_11_chamber,hit_11_layer,hit_11_xright,hit_11_xleft,hit_12_chamber,hit_12_layer,hit_12_xright,hit_12_xleft,hit_13_chamber,hit_13_layer,hit_13_xright,hit_13_xleft,hit_14_chamber,hit_14_layer,hit_14_xright,hit_14_xleft,hit_15_chamber,hit_15_layer,hit_15_xright,hit_15_xleft,hit_16_chamber,hit_16_layer,hit_16_xright,hit_16_xleft,hit_17_chamber,hit_17_layer,hit_17_xright,hit_17_xleft,hit_18_chamber,hit_18_layer,hit_18_xright,hit_18_xleft,hit_19_chamber,hit_19_layer,hit_19_xright,hit_19_xleft,hit_20_chamber,hit_20_layer,hit_20_xright,hit_20_xleft,hit_21_chamber,hit_21_layer,hit_21_xright,hit_21_xleft,hit_22_chamber,hit_22_layer,hit_22_xright,hit_22_xleft,hit_23_chamber,hit_23_layer,hit_23_xright,hit_23_xleft,hit_24_chamber,hit_24_layer,hit_24_xright,hit_24_xleft,hit_25_chamber,hit_25_layer,hit_25_xright,hit_25_xleft,hit_26_chamber,hit_26_layer,hit_26_xright,hit_26_xleft,hit_27_chamber,hit_27_layer,hit_27_xright,hit_27_xleft,hit_28_chamber,hit_28_layer,hit_28_xright,hit_28_xleft,hit_29_chamber,hit_29_layer,hit_29_xright,hit_29_xleft,hit_30_chamber,hit_30_layer,hit_30_xright,hit_30_xleft,hit_31_chamber,hit_31_layer,hit_31_xright,hit_31_xleft,hit_32_chamber,hit_32_layer,hit_32_xright,hit_32_xleft,hit_33_chamber,hit_33_layer,hit_33_xright,hit_33_xleft,hit_34_chamber,hit_34_layer,hit_34_xright,hit_34_xleft,hit_35_chamber,hit_35_layer,hit_35_xright,hit_35_xleft,hit_36_chamber,hit_36_layer,hit_36_xright,hit_36_xleft,hit_37_chamber,hit_37_layer,hit_37_xright,hit_37_xleft,hit_38_chamber,hit_38_layer,hit_38_xright,hit_38_xleft,hit_39_chamber,hit_39_layer,hit_39_xright,hit_39_xleft,hit_40_chamber,hit_40_layer,hit_40_xright,hit_40_xleft,hit_41_chamber,hit_41_layer,hit_41_xright,hit_41_xleft,hit_42_chamber,hit_42_layer,hit_42_xright,hit_42_xleft,hit_43_chamber,hit_43_layer,hit_43_xright,hit_43_xleft,hit_44_chamber,hit_44_layer,hit_44_xright,hit_44_xleft,hit_45_chamber,hit_45_layer,hit_45_xright,hit_45_xleft,hit_46_chamber,hit_46_layer,hit_46_xright,hit_46_xleft,hit_47_chamber,hit_47_layer,hit_47_xright,hit_47_xleft,hit_48_chamber,hit_48_layer,hit_48_xright,hit_48_xleft,hit_49_chamber,hit_49_layer,hit_49_xright,hit_49_xleft,hit_50_chamber,hit_50_layer,hit_50_xright,hit_50_xleft,hit_51_chamber,hit_51_layer,hit_51_xright,hit_51_xleft,hit_52_chamber,hit_52_layer,hit_52_xright,hit_52_xleft,hit_53_chamber,hit_53_layer,hit_53_xright,hit_53_xleft,hit_54_chamber,hit_54_layer,hit_54_xright,hit_54_xleft,hit_55_chamber,hit_55_layer,hit_55_xright,hit_55_xleft,hit_56_chamber,hit_56_layer,hit_56_xright,hit_56_xleft,hit_57_chamber,hit_57_layer,hit_57_xright,hit_57_xleft,hit_58_chamber,hit_58_layer,hit_58_xright,hit_58_xleft,hit_59_chamber,hit_59_layer,hit_59_xright,hit_59_xleft,hit_60_chamber,hit_60_layer,hit_60_xright,hit_60_xleft,hit_61_chamber,hit_61_layer,hit_61_xright,hit_61_xleft,hit_62_chamber,hit_62_layer,hit_62_xright,hit_62_xleft,hit_63_chamber,hit_63_layer,hit_63_xright,hit_63_xleft,hit_64_chamber,hit_64_layer,hit_64_xright,hit_64_xleft,hit_65_chamber,hit_65_layer,hit_65_xright,hit_65_xleft,hit_66_chamber,hit_66_layer,hit_66_xright,hit_66_xleft,hit_67_chamber,hit_67_layer,hit_67_xright,hit_67_xleft,hit_68_chamber,hit_68_layer,hit_68_xright,hit_68_xleft,hit_69_chamber,hit_69_layer,hit_69_xright,hit_69_xleft,hit_70_chamber,hit_70_layer,hit_70_xright,hit_70_xleft,hit_71_chamber,hit_71_layer,hit_71_xright,hit_71_xleft,hit_72_chamber,hit_72_layer,hit_72_xright,hit_72_xleft,hit_73_chamber,hit_73_layer,hit_73_xright,hit_73_xleft,hit_74_chamber,hit_74_layer,hit_74_xright,hit_74_xleft,hit_75_chamber,hit_75_layer,hit_75_xright,hit_75_xleft,hit_76_chamber,hit_76_layer,hit_76_xright,hit_76_xleft,hit_77_chamber,hit_77_layer,hit_77_xright,hit_77_xleft,hit_78_chamber,hit_78_layer,hit_78_xright,hit_78_xleft
1.0,6.0,0.0,823.5,828.6,823.8000000000001,0.0,862.5,892.7,885.7,0.0,849.5,881.1,855.3000000000001,3.0,13.0,-281.53,-283.47,3.0,0.0,-290.01,-316.99,3.0,39.0,-272.83,-292.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,7.0,2.0,836.5,-622.5,-626.3,2.0,862.5,-622.8,-626.0,2.0,823.5,-583.5,-623.3,3.0,26.0,-589.0,-606.0,3.0,39.0,-605.5,-631.5,3.0,0.0,-589.6,-605.4,3.0,13.0,-606.0,-631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,12.0,0.0,862.5,343.9000000000001,342.5,2.0,849.5,-433.29999999999995,-437.5,2.0,823.5,-428.09999999999997,-442.7,2.0,862.5,-395.2,-433.59999999999997,2.0,836.5,-399.29999999999995,-429.5,3.0,26.0,-302.17,-304.83,3.0,39.0,-275.56,-289.44,3.0,0.0,-296.92,-310.08,3.0,13.0,-280.14,-284.86,3.0,26.0,-287.54,-319.46,3.0,13.0,-264.478,-300.52,3.0,39.0,-309.84000000000003,-339.15999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,11.0,2.0,849.5,-344.46,-358.34,2.0,836.5,-317.17999999999995,-343.62,2.0,823.5,-342.44,-360.35999999999996,2.0,862.5,-315.83,-344.96999999999997,3.0,0.0,-303.2,-303.8,3.0,13.0,-448.5,-452.5,3.0,26.0,-302.26,-304.74,3.0,39.0,-403.7,-413.3,3.0,0.0,-414.8,-444.2,3.0,39.0,-305.22,-343.78,3.0,13.0,-304.73,-344.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,63.0,0.0,836.5,472.5,465.9000000000001,0.0,849.5,921.49,898.9100000000001,0.0,823.5,922.0300000000001,898.37,0.0,836.5,484.30000000000007,454.1,0.0,823.5,971.88,932.5200000000001,2.0,823.5,-349.58,-353.21999999999997,2.0,823.5,-433.79999999999995,-437.0,2.0,836.5,-916.6999999999999,-920.1,2.0,823.5,-476.0,-478.79999999999995,2.0,836.5,-539.2,-541.5999999999999,2.0,849.5,-678.5999999999999,-696.2,2.0,836.5,-623.7,-625.0999999999999,2.0,849.5,-727.4,-731.4,2.0,823.5,-308.07,-310.72999999999996,2.0,823.5,-888.6999999999999,-906.1,2.0,849.5,-388.4,-398.4,2.0,849.5,-937.1,-941.6999999999999,2.0,862.5,-413.7,-415.09999999999997,2.0,836.5,-496.9,-499.9,2.0,823.5,-720.5999999999999,-738.2,2.0,823.5,-560.9,-561.9,2.0,862.5,-616.0999999999999,-632.7,2.0,862.5,-327.90999999999997,-332.89,2.0,862.5,-737.5,-763.3,2.0,849.5,-345.09,-357.71,2.0,849.5,-429.5,-441.29999999999995,2.0,849.5,-475.4,-479.4,2.0,862.5,-537.0,-543.8,2.0,823.5,-586.2,-620.5999999999999,2.0,836.5,-324.99,-335.80999999999995,2.0,862.5,-365.46,-379.29999999999995,2.0,862.5,-449.79999999999995,-463.0,2.0,862.5,-483.0,-513.8,2.0,849.5,-542.5,-580.3,2.0,849.5,-629.3,-661.5,2.0,862.5,-281.23999999999995,-295.56,2.0,836.5,-367.59999999999997,-377.2,2.0,836.5,-440.59999999999997,-472.2,2.0,836.5,-480.2,-516.5999999999999,2.0,836.5,-280.75,-296.04999999999995,2.0,849.5,-334.72999999999996,-368.09999999999997,2.0,823.5,-502.59999999999997,-536.2,2.0,836.5,-271.233,-305.57,2.0,823.5,-336.03,-366.77,2.0,862.5,-270.695,-306.10999999999996,2.0,862.5,-354.2,-390.59999999999997,2.0,836.5,-357.29999999999995,-387.5,2.0,849.5,-378.59999999999997,-408.2,2.0,823.5,-376.59999999999997,-410.2,3.0,26.0,-303.2,-303.8,3.0,0.0,-385.2,-389.8,3.0,0.0,-303.43,-303.57,3.0,39.0,-358.8,-374.2,3.0,13.0,-363.2,-369.8,3.0,39.0,-349.92,-383.1,3.0,13.0,-323.22,-325.78,3.0,13.0,-348.79,-384.2,3.0,26.0,-369.1,-405.9,3.0,39.0,-282.38,-282.62,3.0,26.0,-344.49,-346.51,3.0,13.0,-280.9,-284.1,3.0,0.0,-344.53,-346.47,3.0,39.0,-320.39,-328.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,7.0,2.0,862.5,-365.87,-378.9,2.0,836.5,-367.03,-377.79999999999995,2.0,849.5,-379.2,-407.59999999999997,2.0,823.5,-378.79999999999995,-408.0,3.0,26.0,-338.47,-352.53,3.0,0.0,-336.14,-354.86,3.0,13.0,-311.6,-337.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
